snr_db,sir_db,compensated_auc,snr_corrected_v1_auc,snr_corrected_v2_auc
-15.0,-10.0,0.7438975590236094,0.9987995198079231,0.9991996798719487
-15.0,0.0,0.5158063225290116,0.5926370548219287,0.5886354541816726
-15.0,10.0,0.5532852564102565,0.4715544871794871,0.4675480769230769
-15.0,20.0,0.5130052020808323,0.46218487394957986,0.4637855142056823
-15.0,30.0,0.5282112845138055,0.5214085634253701,0.5250100040016006
-3.75,-10.0,0.9927739863508631,1.0,1.0
-3.75,0.0,0.9235694277711084,0.9971988795518207,0.9767907162865146
-3.75,10.0,0.6316425120772946,0.6739130434782609,0.6956521739130436
-3.75,20.0,0.4646074646074646,0.5353925353925354,0.5015015015015015
-3.75,30.0,0.48255569567044976,0.5527532576712905,0.5590584279108869
7.5,-10.0,1.0,1.0,1.0
7.5,0.0,1.0,0.9987878787878788,0.9878787878787879
7.5,10.0,0.9658771577679646,0.7563227619429947,0.8843837816138097
7.5,20.0,0.675642594859241,0.6013871889024888,0.5748674010607915
7.5,30.0,0.5296266233766235,0.461038961038961,0.5324675324675324
18.75,-10.0,1.0,1.0,1.0
18.75,0.0,1.0,1.0,1.0
18.75,10.0,1.0,0.9879566439181051,1.0
18.75,20.0,0.9802737520128825,0.7898550724637681,0.8152173913043478
18.75,30.0,0.7091346153846153,0.610576923076923,0.5793269230769231
30.0,-10.0,1.0,1.0,1.0
30.0,0.0,1.0,1.0,1.0
30.0,10.0,1.0,1.0,1.0
30.0,20.0,0.999198717948718,0.9935897435897436,0.9967948717948718
30.0,30.0,0.9078525641025641,0.9515224358974358,0.9623397435897436
